1.6516765436327816e-12 9.9999999999999955e+02 1.0132499999999994e+05 2.8520971258453424e-02 2.2636190028796338e-01 6.6598628719800033e-24 7.0789864755620633e-24 5.8171359615612740e-29 2.8815776526833560e-18 9.4362294135661598e-17 2.6626652212772894e-26 7.4511712845358291e-01
1.2384298874240798e-08 9.9999999999682291e+02 1.0132499999999996e+05 2.8520971258410216e-02 2.2636190028727587e-01 3.6984841399147395e-16 3.7881797903389440e-16 2.3337654864704895e-17 2.1555469493484176e-14 7.0846853603026118e-13 1.4987385373937459e-18 7.4511712845358291e-01
6.2167544990031847e-08 9.9999999998408509e+02 1.0132499999999997e+05 2.8520971258236383e-02 2.2636190028449413e-01 5.7169594464447773e-15 5.5045892034869765e-15 9.6354233359869041e-16 1.0770272506820975e-13 3.5664725923056961e-12 2.3729056597404275e-17 7.4511712845358291e-01
1.1195079110582290e-07 9.9999999997139275e+02 1.0132499999999999e+05 2.8520971258062317e-02 2.2636190028168882e-01 1.6050943032373405e-14 1.4879855733939049e-14 3.7339362395377930e-15 1.9322325853070863e-13 6.4378084602330440e-12 6.7641177625870755e-17 7.4511712845358291e-01
1.6173403722161395e-07 9.9999999995875180e+02 1.0132499999999994e+05 2.8520971257887856e-02 2.2636190027885814e-01 3.1582999453331363e-14 2.8217862720840097e-14 9.3167923352454596e-15 2.7814288683421610e-13 9.3234980112406701e-12 1.3514197862210659e-16 7.4511712845358291e-01
2.1151728333740501e-07 9.9999999994616485e+02 1.0132499999999997e+05 2.8520971257712878e-02 2.2636190027600162e-01 5.2223600042761000e-14 4.5001090331150558e-14 1.8608416848604201e-14 3.6250658262254248e-13 1.2223817031224073e-11 2.2694984714634365e-16 7.4511712845358291e-01
2.6130052945319604e-07 9.9999999993363372e+02 1.0132499999999996e+05 2.8520971257537282e-02 2.2636190027311920e-01 7.7790135119916422e-14 6.4713032872300559e-14 3.2391173948317782e-14 4.4636533619988097e-13 1.5138798370377945e-11 3.4338719140011974e-16 7.4511712845358291e-01
3.4645791730790347e-07 9.9999999991233119e+02 1.0132499999999997e+05 2.8520971257235204e-02 2.2636190026812883e-01 1.3233313873494079e-13 1.0395491786691516e-13 6.8279983823801735e-14 5.8877949596025351e-13 2.0158907089727364e-11 6.0018428092077644e-16 7.4511712845358291e-01
4.3161530516261091e-07 9.9999999989120033e+02 1.0132499999999994e+05 2.8520971256930636e-02 2.2636190026306338e-01 1.9972921318236834e-13 1.4884972172381268e-13 1.2178062665539042e-13 7.3007495381443593e-13 2.5221496975898874e-11 9.3025862646452373e-16 7.4511712845358291e-01
5.1677269301731835e-07 9.9999999987024466e+02 1.0132499999999996e+05 2.8520971256623243e-02 2.2636190025792341e-01 2.7902118128798430e-13 1.9809925587161971e-13 1.9508136630368215e-13 8.7043463613353177e-13 3.0326271882335225e-11 1.3342550900855171e-15 7.4511712845358291e-01
